INSTANCE,UB,TIME,CMAX,GAP
dmu01,2563,0.02470088,3064,19.54740538
dmu02,2706,0.022715092,3200,18.25572801
dmu03,2731,0.025853872,3304,20.98132552
dmu04,2669,0.024488211,3036,13.75046834
dmu05,2749,0.024044991,3454,25.64568934
dmu06,3244,0.043201923,3974,22.50308261
dmu07,3046,0.03669405,3483,14.34668418
dmu08,3188,0.033998251,3834,20.26348808
dmu09,3092,0.035790205,3535,14.32729625
dmu10,2984,0.035081863,3473,16.38739946
dmu11,3430,0.057465076,4179,21.83673469
dmu12,3492,0.080761671,4383,25.51546392
dmu13,3681,0.074644089,4462,21.21706058
dmu14,3394,0.058342934,3937,15.99882145
dmu15,3343,0.059309959,3988,19.29404726
dmu16,3751,0.093549013,4713,25.64649427
dmu17,3814,0.093520164,4616,21.02779234
dmu18,3844,0.095325232,4603,19.74505723
dmu19,3764,0.091535091,4665,23.93730074
dmu20,3703,0.088283777,4536,22.4952741
dmu21,4380,0.114162207,5199,18.69863014
dmu22,4725,0.123710871,5640,19.36507937
dmu23,4668,0.130178928,5475,17.28791774
dmu24,4648,0.120575905,5368,15.49053356
dmu25,4164,0.110499859,5026,20.7012488
dmu26,4647,0.192728996,5560,19.64708414
dmu27,4848,0.177782774,5974,23.22607261
dmu28,4692,0.189732075,5781,23.20971867
dmu29,4691,0.182843924,5899,25.75143893
dmu30,4732,0.179767847,5645,19.29416737
dmu31,5640,0.211801052,6589,16.82624113
dmu32,5927,0.198257923,6237,5.230302008
dmu33,5728,0.205783129,6323,10.38756983
dmu34,5385,0.210092783,5930,10.12070566
dmu35,5635,0.202156067,6289,11.60603372
dmu36,5621,0.322623014,7018,24.85322896
dmu37,5851,0.344962835,7220,23.39770979
dmu38,5713,0.333219051,6983,22.23000175
dmu39,5747,0.361819983,6463,12.45867409
dmu40,5577,0.321506023,6643,19.11421911
dmu41,3248,0.026623011,3924,20.81280788
dmu42,3390,0.020900011,4364,28.73156342
dmu43,3441,0.026026964,4215,22.4934612
dmu44,3475,0.020314932,4648,33.75539568
dmu45,3266,0.026925087,4246,30.0061237
dmu46,4035,0.03837204,5214,29.21933086
dmu47,3942,0.040961027,4818,22.22222222
dmu48,3763,0.047025919,4611,22.53521127
dmu49,3710,0.043339968,4495,21.15902965
dmu50,3729,0.033467054,4733,26.92410834
dmu51,4156,0.060762882,5432,30.70259865
dmu52,4303,0.060389996,6079,41.2735301
dmu53,4378,0.062421083,5629,28.57469164
dmu54,4361,0.05787921,5628,29.0529695
dmu55,4263,0.062772989,5461,28.10227539
dmu56,4939,0.090947866,6603,33.69103057
dmu57,4647,0.091660738,6204,33.50548741
dmu58,4701,0.09572196,6495,38.16209317
dmu59,4616,0.091094971,5946,28.81282496
dmu60,4721,0.122326851,6415,35.88222834
dmu61,5171,0.150161743,6824,31.96673757
dmu62,5248,0.114398956,6742,28.4679878
dmu63,5313,0.140373707,7138,34.34970826
dmu64,5226,0.145351171,6983,33.62035974
dmu65,5184,0.136977196,6860,32.33024691
dmu66,5701,0.201499224,7881,38.23890546
dmu67,5779,0.193726301,8040,39.12441599
dmu68,5763,0.184392929,7851,36.23112962
dmu69,5688,0.201303005,7620,33.96624473
dmu70,5868,0.198022127,8037,36.96319018
dmu71,6207,0.22117877,8608,38.68213308
dmu72,6463,0.226861954,8748,35.35509825
dmu73,6136,0.194206953,8662,41.16688396
dmu74,6196,0.327186108,8494,37.08844416
dmu75,6189,0.27559185,8121,31.21667475
dmu76,6718,0.391334057,9368,39.44626377
dmu77,6747,0.324851274,9104,34.93404476
dmu78,6755,0.334173918,9689,43.43449297
dmu79,6910,0.344710827,9964,44.19681621
dmu80,6634,0.340000153,9274,39.79499548
