INSTANCE,UB,TIME,CMAX,GAP
dmu01,2563,36.4298749,2855,11.39289895
dmu03,2731,46.51413703,3031,10.98498718
dmu04,2669,35.387779,2898,8.579992507
dmu05,2749,17.28509593,3090,12.40451073
dmu06,3244,25.05044293,3544,9.24784217
dmu07,3046,55.92295098,3316,8.864084045
dmu08,3188,26.09299898,3484,9.284818068
dmu09,3092,27.40273619,3530,14.16558862
dmu10,2984,22.78483891,3524,18.09651475
dmu11,3430,156.0914021,4016,17.0845481
dmu12,3492,158.6392519,4312,23.48224513
dmu13,3681,190.137547,4408,19.75006792
dmu14,3394,186.9531252,4259,25.48615203
dmu15,3343,126.8160031,3899,16.63176787
dmu16,3751,153.0304372,4634,23.54038923
dmu17,3814,183.1218193,4517,18.43209229
dmu18,3844,171.2943068,4285,11.47242456
dmu19,3764,164.2604859,4428,17.64080765
dmu20,3703,158.2643909,4290,15.85201188
dmu21,4380,437.6817989,4787,9.292237443
dmu22,4725,412.2694552,5395,14.17989418
dmu23,4668,463.7691431,5000,7.112253642
dmu24,4648,409.561877,4841,4.15232358
dmu25,4164,332.106704,4551,9.293948127
dmu26,4647,360.5063617,5514,18.65719819
dmu27,4848,587.558284,5684,17.24422442
dmu28,4692,434.3141122,5683,21.12105712
dmu29,4691,450.833885,5576,18.86591345
dmu30,4732,535.3246539,5348,13.01775148
dmu38,5713,1190.437288,6509,13.93313496
dmu39,5747,1140.087012,6866,19.47102836
dmu41,3248,55.31458402,3715,14.37807882
dmu42,3390,58.60498095,3649,7.640117994
dmu43,3441,60.40440083,3805,10.57832026
dmu44,3475,59.03092098,4037,16.17266187
dmu45,3266,35.14932823,3693,13.07409675
dmu46,4035,77.04965997,4828,19.65303594
dmu47,3942,75.09052491,4473,13.47031963
dmu48,3763,70.50233388,4221,12.17114005
dmu49,3710,70.3260498,4181,12.69541779
dmu50,3729,27.01566267,4384,17.56503084
dmu51,4156,170.9642999,4798,15.44754572
dmu52,4303,173.653492,5034,16.9881478
dmu53,4378,176.8974419,5003,14.27592508
dmu54,4361,247.1186829,5138,17.81701445
dmu55,4263,264.855809,4882,14.52029087
dmu56,4939,227.0656397,5640,14.19315651
dmu57,4647,196.7191513,5445,17.17236927
dmu58,4701,193.1211641,5477,16.50712614
dmu59,4616,182.6796563,5533,19.86568458
dmu60,4721,188.9638109,5591,18.42829909
dmu61,5171,399.2059431,6286,21.56256043
dmu62,5248,466.6693442,6242,18.94054878
dmu63,5313,653.182601,6227,17.20308677
dmu64,5226,721.1776731,6295,20.45541523
dmu65,5184,702.7314491,6332,22.14506173
dmu66,5701,541.735112,6825,19.71583933
dmu67,5779,506.8673379,7107,22.97975428
dmu68,5763,704.813046,7222,25.31667534
dmu69,5688,544.5375652,7032,23.62869198
dmu70,5868,585.0701349,7175,22.27334697
dmu38,5713,1567.4198100566864,6509.0,13.933134955364967
dmu75,6189,1881.5220108032227,7681.0,24.10728712231378
dmu74,6196,3174.9449808597565,7872.0,27.049709489993546
dmu76,6718,1768.6396179199219,8683.0,29.24977671926168
dmu77,6747,1527.707503080368,8360.0,23.906921594782872
dmu73,6136,1432.0148720741272,7458.0,21.54498044328552
dmu72,6463,1340.8446571826935,8185.0,26.643973386971997
dmu71,6207,2375.0735569000244,7641.0,23.102948284195257
dmu40,5577,1242.8076009750366,6489.0,16.352877891339435
dmu80,6634,1957.373332977295,8110.0,22.249020198974968
dmu79,6910,1370.2802181243896,8843.0,27.97395079594791
dmu78,6755,1322.5923111438751,8499.0,25.817912657290897
dmu37,5851,1799.955538034439,7131.0,21.876602290206804
dmu36,5621,929.7401747703552,7089.0,26.11634940402063
dmu34,5385,1163.977802991867,6337.0,17.678737233054775
dmu35,5635,1067.9383990764618,6293.0,11.677018633540381
dmu31,5640,1613.9390830993652,6544.0,16.02836879432623
dmu32,5927,1372.3936178684235,6076.0,2.513919352117422
dmu33,5728,1421.2662148475647,6411.0,11.923882681564235
