INSTANCE,UB,TIME,CMAX,GAP
la01,666,0.002285004,666,0
la02,655,0.002113819,722,10.22900763
la03,597,0.002382994,681,14.07035176
la04,590,0.001655102,659,11.69491525
la05,593,0.001316071,593,0
la06,926,0.004366875,950,2.591792657
la07,890,0.004540205,976,9.662921348
la08,863,0.004652023,868,0.579374276
la09,951,0.00451827,951,0
la10,958,0.00522995,958,0
la11,1222,0.007395983,1293,5.8101473
la12,1039,0.008121014,1044,0.481231954
la13,1150,0.008275032,1154,0.347826087
la14,1292,0.007228851,1328,2.786377709
la15,1207,0.007817984,1323,9.610604805
la16,945,0.005033016,1077,13.96825397
la17,784,0.004419804,821,4.719387755
la18,848,0.003990173,926,9.198113208
la19,842,0.004076958,971,15.32066508
la20,902,0.004373074,1003,11.19733925
la21,1046,0.009227037,1179,12.71510516
la22,927,0.029426813,1032,11.32686084
la23,1032,0.023943186,1132,9.689922481
la24,935,0.009505033,1021,9.197860963
la25,977,0.009919167,1147,17.40020471
la26,1218,0.021743059,1397,14.69622332
la27,1235,0.017267942,1466,18.70445344
la28,1216,0.018877745,1485,22.12171053
la29,1152,0.015073061,1385,20.22569444
la30,1355,0.017205954,1463,7.970479705
la31,1784,0.043447018,1966,10.20179372
la32,1850,0.044688702,1982,7.135135135
la33,1719,0.043930292,1767,2.792321117
la34,1721,0.050920963,1844,7.147007554
la35,1888,0.140844107,1967,4.184322034
la36,1268,0.022753716,1445,13.95899054
la37,1397,0.029820919,1726,23.55046528
la38,1196,0.016749144,1307,9.280936455
la39,1233,0.014873981,1393,12.97648013
la40,1222,0.019574881,1387,13.50245499
