INSTANCE,UB,TIME,CMAX,GAP
la01,666,0.706084251,666,0
la02,655,0.786958694,673,2.748091603
la03,597,0.642910957,622,4.18760469
la04,590,0.633944988,607,2.881355932
la05,593,0.656339884,593,0
la06,926,2.956428766,926,0
la07,890,4.323629141,890,0
la08,863,2.838699102,863,0
la09,951,4.254028082,951,0
la10,958,1.381606817,958,0
la11,1222,5.223402023,1222,0
la12,1039,3.533782005,1039,0
la13,1150,9.681234837,1150,0
la14,1292,7.658413887,1292,0
la15,1207,6.385480165,1211,0.331400166
la16,945,3.126386881,1017,7.619047619
la17,784,2.157534838,818,4.336734694
la18,848,2.184260845,865,2.004716981
la19,842,2.216445923,906,7.600950119
la20,902,2.399338961,964,6.873614191
la21,1046,5.281888962,1138,8.79541109
la22,927,3.069857121,1025,10.57173679
la23,1032,5.90293479,1070,3.682170543
la24,935,4.432220936,978,4.598930481
la25,977,4.936356068,1076,10.13306039
la26,1218,29.43223929,1250,2.6272578
la27,1235,43.09023905,1315,6.477732794
la28,1216,16.82241607,1314,8.059210526
la29,1152,21.09692836,1282,11.28472222
la30,1355,28.35678196,1364,0.664206642
la31,1784,125.5791938,1784,0
la32,1850,77.17699623,1850,0
la33,1719,119.2360351,1719,0
la34,1721,135.277777,1721,0
la35,1888,113.2103629,1888,0
la36,1268,7.08831501,1392,9.779179811
la37,1397,12.16248775,1563,11.88260558
la38,1196,8.766335964,1308,9.364548495
la39,1233,7.743183136,1289,4.541768045
la40,1222,7.261373997,1303,6.628477905
