INSTANCE,UB,TIME,CMAX,GAP
ta01,1231,7.359158993,1347,9.423233144
ta02,1244,9.533709049,1347,8.279742765
ta03,1216,8.424438,1310,7.730263158
ta04,1175,9.265589952,1302,10.80851064
ta05,1224,6.395187855,1431,16.91176471
ta06,1237,5.537812948,1393,12.61115602
ta07,1227,6.276237965,1416,15.40342298
ta08,1217,6.493844032,1378,13.22925226
ta09,1273,11.77247095,1422,11.70463472
ta10,1241,14.01945686,1361,9.669621273
ta11,1357,34.0281918,1522,12.15917465
ta12,1367,27.53913903,1537,12.43599122
ta13,1342,22.15359211,1489,10.9538003
ta14,1345,27.55158496,1483,10.26022305
ta15,1339,39.16692615,1469,9.708737864
ta16,1360,31.33000398,1529,12.42647059
ta17,1462,23.41939521,1550,6.019151847
ta18,1396,15.2653091,1603,14.82808023
ta19,1332,47.76060867,1453,9.084084084
ta20,1348,39.21020484,1505,11.64688427
ta21,1642,44.42945385,1937,17.966
ta22,1600,38.24368191,1836,14.75
ta23,1557,52.90331101,1699,9.120102762
ta24,1644,25.98298907,1888,14.84184915
ta25,1595,23.32312083,1851,16.05015674
ta26,1645,20.92539716,1833,11.42857143
ta27,1680,39.25955367,1869,11.25
ta28,1603,21.56926918,1854,15.65814099
ta29,1625,30.19557095,1826,12.369
ta30,1584,25.56121707,1788,12.87878788
ta31,1764,112.9153452,1949,10.48752834
ta32,1784,117.8863709,2022,13.34080717
ta33,1791,125.128058,2063,15.18704634
ta34,1828,155.3041737,2015,10.2297593
ta35,2007,193.42435,2305,14.84803189
ta36,1819,116.850729,2119,16.49257834
ta37,1771,121.139194,2109,19.08526256
ta38,1673,105.1984658,1907,13.98684997
ta39,1795,123.929776,2053,14.37325905
ta40,1670,102.4659789,2051,22.81437126
ta41,2006,126.4306929,2314,15.35393819
ta42,1939,125.1391602,2437,25.809
ta43,1846,125.0969059,2210,19.71830986
ta44,1979,139.2434201,2329,17.68569985
ta45,2000,145.7136939,2269,13.45
ta46,2006,135.7324343,2340,16.65004985
ta47,1889,117.3569779,2312,22.39280042
ta48,1937,147.8873379,2254,16.36551368
ta49,1963,131.800385,2219,13.04126337
ta50,1923,116.6715391,2246,16.79667187
ta51,2760,845.9612751,3082,11.66666667
ta52,2756,789.811697,3182,15.45718433
ta53,2717,923.5667253,2948,8.502024291
ta54,2839,877.9032879,3283,15.63930962
ta55,2679,976.856303,3161,17.99178798
ta56,2781,1041.616206,3091,11.1470694
ta57,2943,993.5296571,3415,16.03805641
ta58,2885,1180.927576,3079,6.724436742
ta59,2655,892.1492412,3099,16.72316384
ta60,2723,869.6462011,3042,11.7150202
ta61,2868,808.1663392,3522,22.77684798
ta62,2869,844.3539081,3572,24.48884629
ta63,2755,795.4832029,3413,23.88384755
ta64,2702,768.1312201,3275,21.20651369
ta65,2725,870.095063,3259,19.59633028
ta66,2845,797.447962,3444,21.05448155
ta67,2825,793.6246951,3282,16.17699115
ta68,2784,788.6256301,3418,22.77298851
ta69,3071,939.7820461,3693,20.25398893
ta70,2995,1029.784232,3463,15.62604341
ta71,5464,23465.07657,6420,17.49633968
ta72,5181,21207.63872,6010,16.00077205
ta73,5568,37930.59246,6374,14.47557471
ta74,5339,23065.74235,6158,15.3399513
ta75,5392,27505.93385,6240,15.72700297
ta76,5342,26681.4441,5954,11.45638338
ta77,5436,22861.02419,6249,14.95584989
ta78,5394,24476.45469,6333,17.40823137
ta79,5358,20549.18025,6138,14.55767077
ta80,5183,26164.67951,6131,18.29056531
